Frame,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X5',Y5',Z5',yz_combined_velocity,X5'',Y5'',Z5'',yz_combined_acceleration
2844,-183.483,149.838,134.661,-181.171,143.257,117.965,-183.594,127.646,98.0732,-195.295,139.389,79.0234,-192.388,127.778,63.1787,6.36727,57.8344,3.11583,-57.9182719,903.308,-456.423,132.397,475.2377516
2845,-183.386,149.933,134.679,-181.129,143.432,117.959,-183.591,127.942,98.013,-195.256,139.911,79.1259,-192.429,128.407,63.2197,-4.10378,62.9351,4.09782,-63.0683672,-1047.1,510.067,98.1987,-519.433662
2846,-183.257,150.052,134.71,-181.033,143.62,117.967,-183.555,128.206,97.9652,-195.286,140.403,79.2107,-192.416,129.008,63.2901,1.32173,60.0785,7.04303,-60.4899201,542.551,-285.655,294.521,410.2942828
2847,-183.131,150.202,134.749,-180.891,143.798,117.99,-183.448,128.501,97.9368,-195.214,140.842,79.3071,-192.35,129.57,63.3289,6.66082,56.1893,3.88548,-56.32347991,533.909,-388.92,-315.756,500.9596969
2848,-182.962,150.359,134.795,-180.74,143.989,118.029,-183.384,128.783,97.9097,-195.173,141.324,79.3704,-192.368,130.162,63.3353,-1.83582,59.1397,0.637025,-59.14313077,-849.664,295.043,-324.845,-438.833278
2849,-182.771,150.463,134.865,-180.546,144.173,118.059,-183.295,129.093,97.8828,-195.045,141.707,79.4714,-192.328,130.67,63.3641,3.99649,50.8368,2.87592,-50.91808274,583.231,-830.293,223.89,859.9495322
2850,-182.552,150.571,134.924,-180.387,144.313,118.104,-183.187,129.32,97.8776,-195.012,142.172,79.5453,-192.22,131.144,63.3942,10.8182,47.4066,3.01227,-47.50220515,682.175,-343.025,13.6346,343.2958679
2851,-182.374,150.611,134.945,-180.197,144.375,118.132,-183.119,129.53,97.8172,-194.857,142.525,79.6821,-192.274,131.71,63.4402,-5.37336,56.6035,4.59701,-56.78986453,-1619.16,919.7,158.474,-933.2535018
2852,-182.206,150.616,134.952,-180.016,144.405,118.12,-183.047,129.677,97.7308,-194.873,143.003,79.7139,-192.206,132.236,63.4677,6.71148,52.5609,2.74852,-52.63271389,1208.48,-404.268,-184.849,444.5242048
2853,-182.031,150.578,134.949,-179.909,144.457,118.096,-182.994,129.894,97.6629,-194.733,143.412,79.8006,-192.114,132.781,63.4864,9.28491,54.5308,1.87382,-54.56298516,257.343,196.993,-87.4698,-215.539342
